tweet_id,text,airline_sentiment
570264145116819457,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,positive
570051381534396416,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,positive
570045393565691904,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive
570033593394667521,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive
570016304284901379,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,neutral
570013523650048002,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,neutral
570012257549070337,@VirginAmerica I'm #elevategold for a good reason: you rock!!,positive
570011341483843584,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,neutral
570009713447825408,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,neutral
570000071644872704,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,neutral
569990163209850881,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,neutral
569987622484848640,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",neutral
569986348041547778,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,positive
569949891163615232,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,neutral
569934395865493504,@VirginAmerica what happened to Doom?!,neutral
569922008588222465,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,neutral
569913339427434496,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",neutral
569911218942517248,@VirginAmerica why is flight 345 redirected?,neutral
569894407001939968,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,neutral
569891469210755074,@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral
569881548515708928,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,neutral
569872058613673984,@VirginAmerica Have a great week 🌞✈,positive
569777607371128834,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,positive
569714127792254976,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,positive
569652497947734017,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive
569643262459269120,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,neutral
569625609799774208,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",neutral
569616490380439552,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive
